ACTIVITY_DATE,STATION_NAME,ACTIVITY_HOUR,TOTAL_ACTIVITY,DENSITY_CATEGORY,LATITUDE,LONGITUDE
2024-02-01,Canal St & Adams St,9,16,Intense,41.98,-87.72
2024-02-01,Clark St & Elm St,8,12,Intense,41.99,-87.72
2024-02-01,Clinton St & Madison St,16,19,Intense,41.98,-87.76
2024-02-01,Clinton St & Washington Blvd,8,24,Intense,41.96,-87.82
2024-02-01,Ellis Ave & 60th St,17,12,Intense,41.97,-87.72
2024-02-01,Ellis Ave & 60th St,9,12,Intense,41.97,-87.72
2024-02-01,Kingsbury St & Kinzie St,9,18,Intense,42,-87.78
2024-02-01,University Ave & 57th St,17,17,Intense,41.97,-87.68
2024-02-02,Canal St & Adams St,17,8,Intense,41.98,-87.72
2024-02-02,Clark St & Elm St,18,9,Intense,41.99,-87.72
2024-02-02,Clinton St & Madison St,16,15,Intense,41.98,-87.76
2024-02-02,Clinton St & Madison St,8,15,Intense,41.98,-87.76
2024-02-02,Clinton St & Washington Blvd,15,14,Intense,41.96,-87.82
2024-02-02,Clinton St & Washington Blvd,8,14,Intense,41.96,-87.82
2024-02-02,Ellis Ave & 60th St,12,9,Intense,41.97,-87.72
2024-02-02,Ellis Ave & 60th St,15,9,Intense,41.97,-87.72
2024-02-02,Ellis Ave & 60th St,17,9,Intense,41.97,-87.72
2024-02-02,Kingsbury St & Kinzie St,7,13,Intense,42,-87.78
2024-02-02,University Ave & 57th St,12,14,Intense,41.97,-87.68
2024-02-02,University Ave & 57th St,14,14,Intense,41.97,-87.68
2024-02-03,Canal St & Adams St,16,3,Intense,41.98,-87.72
2024-02-03,Clark St & Elm St,9,10,Intense,41.99,-87.72
2024-02-03,Clinton St & Madison St,10,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Madison St,12,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Madison St,13,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Madison St,16,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Washington Blvd,11,3,Intense,41.96,-87.82
2024-02-03,Ellis Ave & 60th St,13,14,Intense,41.97,-87.72
2024-02-03,Kingsbury St & Kinzie St,11,11,Intense,42,-87.78
2024-02-03,University Ave & 57th St,16,12,Intense,41.97,-87.68
2024-02-03,University Ave & 57th St,17,12,Intense,41.97,-87.68
2024-02-04,Canal St & Adams St,22,3,Intense,41.98,-87.72
2024-02-04,Clark St & Elm St,12,7,Intense,41.99,-87.72
2024-02-04,Clark St & Elm St,13,7,Intense,41.99,-87.72
2024-02-04,Clark St & Elm St,16,7,Intense,41.99,-87.72
2024-02-04,Clinton St & Madison St,12,4,Intense,41.98,-87.76
2024-02-04,Clinton St & Madison St,13,4,Intense,41.98,-87.76
