ACTIVITY_DATE,STATION_NAME,ACTIVITY_HOUR,TOTAL_ACTIVITY,DENSITY_CATEGORY,LATITUDE,LONGITUDE
2024-02-01,CHARLEMONT PLACE,10,14,Intense,53.3307,-6.26018
2024-02-01,FOWNES STREET UPPER,18,13,Intense,53.3446,-6.26337
2024-02-01,GRAND CANAL DOCK,8,16,Intense,53.3426,-6.2387
2024-02-01,MOUNTJOY SQUARE WEST,13,21,Intense,53.3563,-6.25859
2024-02-01,PORTOBELLO HARBOUR,9,19,Intense,53.3304,-6.26516
2024-02-01,PRINCES STREET / O'CONNELL STREET,12,8,Intense,53.349,-6.26031
2024-02-01,SIR PATRICK DUN'S,8,17,Intense,53.3392,-6.24064
2024-02-02,CHARLEMONT PLACE,8,10,Intense,53.3307,-6.26018
2024-02-02,FOWNES STREET UPPER,13,17,Intense,53.3446,-6.26337
2024-02-02,GRAND CANAL DOCK,17,7,Intense,53.3426,-6.2387
2024-02-02,GRAND CANAL DOCK,23,7,Intense,53.3426,-6.2387
2024-02-02,MOUNTJOY SQUARE WEST,15,16,Intense,53.3563,-6.25859
2024-02-02,PORTOBELLO HARBOUR,10,11,Intense,53.3304,-6.26516
2024-02-02,PORTOBELLO HARBOUR,9,11,Intense,53.3304,-6.26516
2024-02-02,PRINCES STREET / O'CONNELL STREET,15,10,Intense,53.349,-6.26031
2024-02-02,SIR PATRICK DUN'S,19,10,Intense,53.3392,-6.24064
2024-02-02,SIR PATRICK DUN'S,9,10,Intense,53.3392,-6.24064
2024-02-03,CHARLEMONT PLACE,11,4,Intense,53.3307,-6.26018
2024-02-03,CHARLEMONT PLACE,12,4,Intense,53.3307,-6.26018
2024-02-03,CHARLEMONT PLACE,23,4,Intense,53.3307,-6.26018
2024-02-03,FOWNES STREET UPPER,12,9,Intense,53.3446,-6.26337
2024-02-03,GRAND CANAL DOCK,18,6,Intense,53.3426,-6.2387
2024-02-03,MOUNTJOY SQUARE WEST,16,10,Intense,53.3563,-6.25859
2024-02-03,PORTOBELLO HARBOUR,13,8,Intense,53.3304,-6.26516
2024-02-03,PORTOBELLO HARBOUR,8,8,Intense,53.3304,-6.26516
2024-02-03,PRINCES STREET / O'CONNELL STREET,15,7,Intense,53.349,-6.26031
2024-02-03,PRINCES STREET / O'CONNELL STREET,19,7,Intense,53.349,-6.26031
2024-02-03,SIR PATRICK DUN'S,11,6,Intense,53.3392,-6.24064
2024-02-03,SIR PATRICK DUN'S,20,6,Intense,53.3392,-6.24064
2024-02-03,SIR PATRICK DUN'S,22,6,Intense,53.3392,-6.24064
2024-02-04,CHARLEMONT PLACE,0,3,Intense,53.3307,-6.26018
2024-02-04,CHARLEMONT PLACE,11,3,Intense,53.3307,-6.26018
2024-02-04,CHARLEMONT PLACE,12,3,Intense,53.3307,-6.26018
2024-02-04,CHARLEMONT PLACE,13,3,Intense,53.3307,-6.26018
2024-02-04,CHARLEMONT PLACE,19,3,Intense,53.3307,-6.26018
2024-02-04,FOWNES STREET UPPER,10,2,Intense,53.3446,-6.26337
2024-02-04,FOWNES STREET UPPER,13,2,Intense,53.3446,-6.26337
2024-02-04,FOWNES STREET UPPER,16,2,Intense,53.3446,-6.26337
2024-02-04,FOWNES STREET UPPER,7,2,Intense,53.3446,-6.26337
2024-02-04,FOWNES STREET UPPER,9,2,Intense,53.3446,-6.26337
2024-02-04,GRAND CANAL DOCK,16,7,Intense,53.3426,-6.2387
2024-02-04,MOUNTJOY SQUARE WEST,10,4,Intense,53.3563,-6.25859
2024-02-04,MOUNTJOY SQUARE WEST,13,4,Intense,53.3563,-6.25859
2024-02-04,MOUNTJOY SQUARE WEST,20,4,Intense,53.3563,-6.25859
2024-02-04,PORTOBELLO HARBOUR,14,9,Intense,53.3304,-6.26516
2024-02-04,PRINCES STREET / O'CONNELL STREET,15,14,Intense,53.349,-6.26031
2024-02-04,SIR PATRICK DUN'S,7,4,Intense,53.3392,-6.24064
2024-02-05,CHARLEMONT PLACE,19,6,Intense,53.3307,-6.26018
2024-02-05,FOWNES STREET UPPER,13,5,Intense,53.3446,-6.26337
2024-02-05,GRAND CANAL DOCK,11,7,Intense,53.3426,-6.2387
2024-02-05,MOUNTJOY SQUARE WEST,12,14,Intense,53.3563,-6.25859
2024-02-05,PORTOBELLO HARBOUR,22,6,Intense,53.3304,-6.26516
2024-02-05,PRINCES STREET / O'CONNELL STREET,16,14,Intense,53.349,-6.26031
2024-02-05,SIR PATRICK DUN'S,23,5,Intense,53.3392,-6.24064
2024-02-06,CHARLEMONT PLACE,18,21,Intense,53.3307,-6.26018
2024-02-06,FOWNES STREET UPPER,15,11,Intense,53.3446,-6.26337
2024-02-06,GRAND CANAL DOCK,18,7,Intense,53.3426,-6.2387
2024-02-06,MOUNTJOY SQUARE WEST,13,12,Intense,53.3563,-6.25859
2024-02-06,MOUNTJOY SQUARE WEST,19,12,Intense,53.3563,-6.25859
2024-02-06,PORTOBELLO HARBOUR,18,20,Intense,53.3304,-6.26516
2024-02-06,PRINCES STREET / O'CONNELL STREET,16,6,Intense,53.349,-6.26031
2024-02-06,SIR PATRICK DUN'S,18,21,Intense,53.3392,-6.24064
2024-02-07,CHARLEMONT PLACE,10,18,Intense,53.3307,-6.26018
2024-02-07,FOWNES STREET UPPER,18,9,Intense,53.3446,-6.26337
2024-02-07,GRAND CANAL DOCK,15,11,Intense,53.3426,-6.2387
2024-02-07,GRAND CANAL DOCK,6,11,Intense,53.3426,-6.2387
2024-02-07,MOUNTJOY SQUARE WEST,12,15,Intense,53.3563,-6.25859
2024-02-07,PORTOBELLO HARBOUR,9,21,Intense,53.3304,-6.26516
2024-02-07,PRINCES STREET / O'CONNELL STREET,6,10,Intense,53.349,-6.26031
2024-02-07,SIR PATRICK DUN'S,9,17,Intense,53.3392,-6.24064
2024-02-08,CHARLEMONT PLACE,8,19,Intense,53.3307,-6.26018
2024-02-08,FOWNES STREET UPPER,18,10,Intense,53.3446,-6.26337
2024-02-08,GRAND CANAL DOCK,9,13,Intense,53.3426,-6.2387
2024-02-08,MOUNTJOY SQUARE WEST,12,10,Intense,53.3563,-6.25859
2024-02-08,PORTOBELLO HARBOUR,8,12,Intense,53.3304,-6.26516
2024-02-08,PRINCES STREET / O'CONNELL STREET,11,7,Intense,53.349,-6.26031
2024-02-08,PRINCES STREET / O'CONNELL STREET,18,7,Intense,53.349,-6.26031
2024-02-08,SIR PATRICK DUN'S,10,11,Intense,53.3392,-6.24064
2024-02-09,CHARLEMONT PLACE,9,21,Intense,53.3307,-6.26018
2024-02-09,FOWNES STREET UPPER,15,8,Intense,53.3446,-6.26337
2024-02-09,FOWNES STREET UPPER,17,8,Intense,53.3446,-6.26337
2024-02-09,GRAND CANAL DOCK,7,10,Intense,53.3426,-6.2387
2024-02-09,MOUNTJOY SQUARE WEST,14,19,Intense,53.3563,-6.25859
2024-02-09,PORTOBELLO HARBOUR,7,13,Intense,53.3304,-6.26516
2024-02-09,PRINCES STREET / O'CONNELL STREET,6,13,Intense,53.349,-6.26031
2024-02-09,SIR PATRICK DUN'S,9,13,Intense,53.3392,-6.24064
2024-02-10,CHARLEMONT PLACE,10,3,Intense,53.3307,-6.26018
2024-02-10,CHARLEMONT PLACE,13,3,Intense,53.3307,-6.26018
2024-02-10,CHARLEMONT PLACE,16,3,Intense,53.3307,-6.26018
2024-02-10,CHARLEMONT PLACE,18,3,Intense,53.3307,-6.26018
2024-02-10,CHARLEMONT PLACE,6,3,Intense,53.3307,-6.26018
2024-02-10,CHARLEMONT PLACE,9,3,Intense,53.3307,-6.26018
2024-02-10,FOWNES STREET UPPER,13,8,Intense,53.3446,-6.26337
2024-02-10,GRAND CANAL DOCK,15,8,Intense,53.3426,-6.2387
2024-02-10,MOUNTJOY SQUARE WEST,14,14,Intense,53.3563,-6.25859
2024-02-10,PORTOBELLO HARBOUR,19,9,Intense,53.3304,-6.26516
2024-02-10,PRINCES STREET / O'CONNELL STREET,7,11,Intense,53.349,-6.26031
2024-02-10,SIR PATRICK DUN'S,15,7,Intense,53.3392,-6.24064
2024-02-10,SIR PATRICK DUN'S,17,7,Intense,53.3392,-6.24064
2024-02-11,CHARLEMONT PLACE,11,4,Intense,53.3307,-6.26018
2024-02-11,CHARLEMONT PLACE,12,4,Intense,53.3307,-6.26018
2024-02-11,CHARLEMONT PLACE,17,4,Intense,53.3307,-6.26018
2024-02-11,CHARLEMONT PLACE,20,4,Intense,53.3307,-6.26018
2024-02-11,CHARLEMONT PLACE,21,4,Intense,53.3307,-6.26018
